"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2024","0.427350","0.432042","0.464120","0.408226","8.85B","-1.08%"
"12/04/2024","0.432015","0.406428","0.435813","0.400293","5.02B","6.28%"
"12/03/2024","0.406497","0.424805","0.429187","0.389852","5.80B","-4.32%"
"12/02/2024","0.424857","0.440332","0.461950","0.402883","7.50B","-3.40%"
"12/01/2024","0.439833","0.421669","0.449566","0.416850","4.63B","4.32%"
"11/30/2024","0.421638","0.425917","0.434848","0.414123","3.38B","-1.00%"
"11/29/2024","0.425884","0.401559","0.436868","0.399598","4.32B","6.06%"
"11/28/2024","0.401545","0.401057","0.428533","0.391522","3.68B","0.13%"
"11/27/2024","0.401031","0.387385","0.407523","0.380561","4.11B","3.52%"
"11/26/2024","0.387381","0.392549","0.408482","0.366194","5.53B","-1.32%"
"11/25/2024","0.392579","0.430595","0.436387","0.381113","5.96B","-8.84%"
"11/24/2024","0.430647","0.430201","0.453263","0.400148","6.76B","0.12%"
"11/23/2024","0.430151","0.412908","0.479759","0.404847","11.49B","4.19%"
"11/22/2024","0.412855","0.386658","0.419379","0.381154","8.14B","6.78%"
"11/21/2024","0.386658","0.377724","0.394993","0.369093","5.32B","2.37%"
"11/20/2024","0.377709","0.390687","0.396236","0.365567","5.14B","-3.31%"
"11/19/2024","0.390656","0.371238","0.419794","0.367237","8.18B","5.23%"
"11/18/2024","0.371238","0.366938","0.380355","0.358051","5.68B","1.23%"
"11/17/2024","0.366740","0.363960","0.374408","0.340196","5.14B","0.77%"
"11/16/2024","0.363953","0.381300","0.391017","0.360671","4.93B","-4.55%"
"11/15/2024","0.381300","0.362314","0.384656","0.353940","8.11B","5.27%"
"11/14/2024","0.362221","0.399322","0.414568","0.353583","9.35B","-9.29%"
"11/13/2024","0.399327","0.379912","0.430831","0.355127","16.78B","5.10%"
"11/12/2024","0.379953","0.350381","0.436869","0.330961","22.95B","8.45%"
"11/11/2024","0.350360","0.277409","0.350360","0.274043","14.68B","26.24%"
"11/10/2024","0.277531","0.218940","0.297399","0.216676","13.78B","26.77%"
"11/09/2024","0.218925","0.202031","0.219905","0.197541","4.72B","8.37%"
"11/08/2024","0.202020","0.193221","0.207006","0.190690","4.64B","4.56%"
"11/07/2024","0.193213","0.196462","0.203925","0.185891","5.11B","-1.65%"
"11/06/2024","0.196462","0.169999","0.216089","0.169212","14.23B","15.57%"
"11/05/2024","0.169996","0.158388","0.178952","0.158104","5.49B","7.33%"
"11/04/2024","0.158390","0.151299","0.160008","0.148306","3.70B","4.68%"
"11/03/2024","0.151302","0.159470","0.159745","0.142269","3.27B","-5.11%"
"11/02/2024","0.159457","0.159130","0.163558","0.155709","1.86B","0.21%"
"11/01/2024","0.159130","0.161567","0.168637","0.154175","3.37B","-1.52%"
"10/31/2024","0.161578","0.168259","0.173493","0.156567","2.98B","-3.98%"
"10/30/2024","0.168267","0.175981","0.177731","0.164596","3.16B","-4.39%"
"10/29/2024","0.175994","0.161418","0.179568","0.160626","5.46B","9.14%"
"10/28/2024","0.161251","0.144233","0.162447","0.141148","4.73B","11.79%"
"10/27/2024","0.144247","0.137418","0.146070","0.136066","1.71B","4.97%"
"10/26/2024","0.137423","0.131621","0.138061","0.130801","1.34B","4.30%"
"10/25/2024","0.131764","0.141863","0.142633","0.128154","2.37B","-7.13%"
"10/24/2024","0.141877","0.140062","0.143726","0.136470","1.96B","1.30%"
"10/23/2024","0.140055","0.139747","0.140864","0.133417","2.28B","0.30%"
"10/22/2024","0.139640","0.143629","0.148411","0.136618","2.64B","-2.79%"
"10/21/2024","0.143643","0.142235","0.149690","0.138237","3.34B","0.96%"
"10/20/2024","0.142272","0.144024","0.145449","0.137351","2.19B","-1.23%"
"10/19/2024","0.144048","0.137139","0.146721","0.137090","3.05B","5.04%"
"10/18/2024","0.137139","0.129665","0.140699","0.129609","3.92B","5.78%"
"10/17/2024","0.129641","0.125769","0.130657","0.120647","3.03B","3.08%"
"10/16/2024","0.125766","0.117492","0.129538","0.115812","4.60B","7.05%"
"10/15/2024","0.117484","0.116705","0.119170","0.110309","2.60B","0.66%"
"10/14/2024","0.116709","0.111387","0.117623","0.109352","2.09B","4.77%"
"10/13/2024","0.111390","0.111376","0.112089","0.108744","874.70M","0.00%"
"10/12/2024","0.111392","0.110745","0.112092","0.109419","843.69M","0.59%"
"10/11/2024","0.110740","0.106016","0.111373","0.105670","1.14B","4.46%"
"10/10/2024","0.106011","0.107911","0.108602","0.103260","1.33B","-1.76%"
"10/09/2024","0.107913","0.107117","0.111425","0.106268","1.42B","0.74%"
"10/08/2024","0.107126","0.108462","0.109832","0.105380","1.23B","-1.23%"
"10/07/2024","0.108456","0.111560","0.115369","0.108429","2.03B","-2.78%"
"10/06/2024","0.111561","0.109528","0.112764","0.108458","881.32M","1.86%"
"10/05/2024","0.109529","0.109377","0.110368","0.107641","867.19M","0.14%"
"10/04/2024","0.109381","0.105055","0.110547","0.104848","1.46B","4.11%"
"10/03/2024","0.105067","0.104619","0.106787","0.101238","1.87B","0.43%"
"10/02/2024","0.104620","0.106896","0.109466","0.102336","1.97B","-2.13%"
"10/01/2024","0.106898","0.114316","0.119318","0.102769","2.89B","-6.50%"
"09/30/2024","0.114332","0.124480","0.124591","0.113550","1.88B","-8.16%"
"09/29/2024","0.124491","0.128139","0.130334","0.124491","1.48B","-2.89%"
"09/28/2024","0.128195","0.123534","0.131880","0.120343","2.61B","3.77%"
"09/27/2024","0.123542","0.118104","0.128475","0.117043","2.59B","4.60%"
"09/26/2024","0.118103","0.108515","0.120265","0.107049","2.60B","8.84%"
"09/25/2024","0.108516","0.109738","0.111077","0.108054","1.38B","-1.10%"
"09/24/2024","0.109726","0.108039","0.110491","0.106864","1.35B","1.56%"
"09/23/2024","0.108036","0.106355","0.109153","0.104232","1.34B","1.59%"
"09/22/2024","0.106344","0.109912","0.109921","0.103862","909.92M","-3.25%"
"09/21/2024","0.109916","0.105536","0.110378","0.104056","1.08B","4.15%"
"09/20/2024","0.105535","0.104966","0.107421","0.103654","1.32B","0.55%"
"09/19/2024","0.104962","0.103762","0.107066","0.103471","1.48B","1.18%"
"09/18/2024","0.103742","0.101142","0.103773","0.099419","1.21B","2.57%"
"09/17/2024","0.101142","0.099662","0.102505","0.098722","1.19B","1.50%"
"09/16/2024","0.099647","0.102830","0.103175","0.098383","1.14B","-3.11%"
"09/15/2024","0.102841","0.105400","0.106382","0.102379","872.38M","-2.43%"
"09/14/2024","0.105397","0.107040","0.107614","0.104476","1.10B","-1.54%"
"09/13/2024","0.107041","0.102729","0.108327","0.101804","1.69B","4.19%"
"09/12/2024","0.102732","0.101311","0.103302","0.100458","1.10B","1.39%"
"09/11/2024","0.101326","0.102801","0.103043","0.098016","1.21B","-1.42%"
"09/10/2024","0.102781","0.103766","0.104522","0.101611","1.06B","-0.93%"
"09/09/2024","0.103751","0.096138","0.104652","0.095731","1.75B","7.93%"
"09/08/2024","0.096127","0.095399","0.096931","0.093895","857.55M","0.76%"
"09/07/2024","0.095399","0.092562","0.095668","0.091761","1.13B","3.07%"
"09/06/2024","0.092559","0.098408","0.099426","0.089110","1.95B","-5.95%"
"09/05/2024","0.098411","0.097992","0.099162","0.096074","1.09B","0.44%"
"09/04/2024","0.097979","0.096752","0.099475","0.092184","1.56B","1.25%"
"09/03/2024","0.096770","0.099114","0.100706","0.096612","963.92M","-2.36%"
"09/02/2024","0.099108","0.095084","0.099769","0.094115","1.12B","4.23%"
"09/01/2024","0.095087","0.101282","0.101473","0.094165","1.00B","-6.12%"
"08/31/2024","0.101281","0.101741","0.102359","0.100365","722.19M","-0.46%"
"08/30/2024","0.101753","0.100429","0.102456","0.097209","1.42B","1.32%"
"08/29/2024","0.100430","0.099594","0.102518","0.098351","1.10B","0.83%"
"08/28/2024","0.099601","0.099011","0.101761","0.097004","1.71B","0.60%"
"08/27/2024","0.099007","0.105207","0.106498","0.096634","1.59B","-5.90%"
"08/26/2024","0.105210","0.109710","0.110297","0.104530","1.25B","-4.11%"
"08/25/2024","0.109723","0.112592","0.112800","0.107946","1.29B","-2.55%"
"08/24/2024","0.112591","0.112896","0.114951","0.110899","1.77B","-0.27%"
"08/23/2024","0.112895","0.105254","0.115271","0.105239","2.03B","7.27%"
"08/22/2024","0.105246","0.106151","0.106864","0.104113","956.06M","-0.85%"
"08/21/2024","0.106150","0.102926","0.107868","0.102227","1.21B","3.14%"
"08/20/2024","0.102921","0.101330","0.105616","0.101112","1.73B","1.57%"
"08/19/2024","0.101331","0.100068","0.101773","0.098616","1.18B","1.28%"
"08/18/2024","0.100048","0.102769","0.104394","0.100039","937.83M","-2.64%"
"08/17/2024","0.102765","0.100328","0.103661","0.100006","802.44M","2.43%"
"08/16/2024","0.100324","0.100200","0.102042","0.097624","1.42B","0.14%"
"08/15/2024","0.100182","0.102449","0.104825","0.098005","1.53B","-2.22%"
"08/14/2024","0.102455","0.106381","0.106801","0.101566","1.31B","-3.69%"
"08/13/2024","0.106382","0.107893","0.109013","0.103422","1.38B","-1.39%"
"08/12/2024","0.107881","0.100514","0.108489","0.100219","1.98B","7.33%"
"08/11/2024","0.100514","0.105204","0.110959","0.100201","1.77B","-4.45%"
"08/10/2024","0.105198","0.103865","0.105894","0.102944","996.77M","1.28%"
"08/09/2024","0.103870","0.107431","0.107724","0.101685","1.61B","-3.32%"
"08/08/2024","0.107440","0.095559","0.107893","0.093657","2.13B","12.55%"
"08/07/2024","0.095457","0.096482","0.101903","0.094394","2.50B","-1.08%"
"08/06/2024","0.096499","0.094181","0.101345","0.094154","2.91B","2.47%"
"08/05/2024","0.094175","0.103746","0.104215","0.080549","9.24B","-9.22%"
"08/04/2024","0.103745","0.108123","0.109330","0.099323","2.12B","-4.04%"
"08/03/2024","0.108115","0.111579","0.114659","0.105290","2.09B","-3.10%"
"08/02/2024","0.111578","0.119142","0.119684","0.110312","1.90B","-6.34%"
"08/01/2024","0.119135","0.121921","0.123089","0.112390","1.90B","-2.28%"
"07/31/2024","0.121920","0.125489","0.127296","0.121379","1.32B","-2.84%"
"07/30/2024","0.125486","0.128437","0.130429","0.123399","1.38B","-2.30%"
"07/29/2024","0.128439","0.130045","0.135009","0.127809","1.72B","-1.24%"
"07/28/2024","0.130048","0.131314","0.131799","0.128186","1.46B","-0.94%"
"07/27/2024","0.131284","0.134183","0.138702","0.130734","2.34B","-2.18%"
"07/26/2024","0.134203","0.125259","0.134921","0.125143","1.65B","7.13%"
"07/25/2024","0.125274","0.127923","0.128683","0.120233","2.02B","-2.08%"
"07/24/2024","0.127940","0.130296","0.134727","0.126995","1.50B","-1.81%"
"07/23/2024","0.130293","0.137851","0.139158","0.128346","2.11B","-5.48%"
"07/22/2024","0.137852","0.140197","0.142431","0.136006","2.72B","-1.67%"
"07/21/2024","0.140196","0.134238","0.143452","0.126127","2.51B","4.44%"
"07/20/2024","0.134242","0.125473","0.135723","0.124327","2.48B","6.99%"
"07/19/2024","0.125473","0.119541","0.125990","0.117534","1.73B","4.96%"
"07/18/2024","0.119540","0.121782","0.123810","0.117235","1.65B","-1.84%"
"07/17/2024","0.121783","0.124781","0.127543","0.120392","1.65B","-2.41%"
"07/16/2024","0.124786","0.124890","0.127570","0.119090","2.08B","-0.10%"
"07/15/2024","0.124911","0.115427","0.125393","0.114598","1.94B","8.21%"
"07/14/2024","0.115437","0.112294","0.116825","0.111171","1.52B","2.80%"
"07/13/2024","0.112298","0.107661","0.112889","0.107296","1.41B","4.32%"
"07/12/2024","0.107650","0.106633","0.108296","0.104917","1.29B","0.95%"
"07/11/2024","0.106634","0.108001","0.112287","0.106191","1.40B","-1.28%"
"07/10/2024","0.108018","0.107540","0.110481","0.105807","1.48B","0.43%"
"07/09/2024","0.107558","0.107574","0.109357","0.105887","1.55B","-0.05%"
"07/08/2024","0.107609","0.104119","0.111176","0.098895","2.57B","3.34%"
"07/07/2024","0.104132","0.113460","0.113466","0.103649","1.68B","-8.25%"
"07/06/2024","0.113500","0.105457","0.114124","0.104777","2.08B","7.64%"
"07/05/2024","0.105447","0.104933","0.106529","0.092635","4.65B","0.50%"
"07/04/2024","0.104926","0.118472","0.119096","0.104001","2.93B","-11.44%"
"07/03/2024","0.118480","0.125251","0.125517","0.117026","1.49B","-5.40%"
"07/02/2024","0.125237","0.123491","0.125295","0.122519","753.53M","1.41%"
"07/01/2024","0.123492","0.124428","0.127425","0.123286","648.84M","-0.76%"
"06/30/2024","0.124432","0.121851","0.125579","0.120483","479.49M","2.12%"
"06/29/2024","0.121851","0.123004","0.124332","0.121445","348.04M","-0.94%"
"06/28/2024","0.123004","0.127055","0.128351","0.122315","1.12B","-3.19%"
"06/27/2024","0.127054","0.122737","0.128243","0.120637","1.17B","3.53%"
"06/26/2024","0.122722","0.126151","0.128604","0.121867","914.50M","-2.72%"
"06/25/2024","0.126148","0.119001","0.128313","0.118836","1.46B","6.00%"
"06/24/2024","0.119002","0.122182","0.123893","0.114531","1.80B","-2.60%"
"06/23/2024","0.122182","0.123756","0.126249","0.121592","699.27M","-1.27%"
"06/22/2024","0.123760","0.124141","0.125519","0.122932","537.25M","-0.31%"
"06/21/2024","0.124141","0.124502","0.125656","0.121457","1.03B","-0.29%"
"06/20/2024","0.124501","0.122474","0.128472","0.121427","1.22B","1.65%"
"06/19/2024","0.122474","0.122231","0.126620","0.121445","1.21B","0.20%"
"06/18/2024","0.122231","0.128779","0.129195","0.114298","3.07B","-5.09%"
"06/17/2024","0.128789","0.137118","0.138141","0.126215","2.02B","-6.07%"
"06/16/2024","0.137119","0.136764","0.137510","0.134813","690.55M","0.26%"
"06/15/2024","0.136763","0.134989","0.137427","0.134231","954.65M","1.31%"
"06/14/2024","0.134999","0.141066","0.143355","0.132085","1.66B","-4.29%"
"06/13/2024","0.141053","0.146210","0.146421","0.140395","1.41B","-3.53%"
"06/12/2024","0.146211","0.138097","0.150475","0.134783","2.33B","5.87%"
"06/11/2024","0.138102","0.144760","0.145109","0.134090","2.12B","-4.60%"
"06/10/2024","0.144757","0.146798","0.147827","0.143356","932.14M","-1.39%"
"06/09/2024","0.146795","0.145898","0.149130","0.145057","817.38M","0.62%"
"06/08/2024","0.145895","0.148209","0.148692","0.143890","1.30B","-1.58%"
"06/07/2024","0.148234","0.160149","0.162103","0.142393","2.37B","-7.44%"
"06/06/2024","0.160149","0.163235","0.165473","0.158504","1.37B","-1.88%"
"06/05/2024","0.163225","0.161385","0.164745","0.161223","1.19B","1.14%"
"06/04/2024","0.161385","0.158384","0.161790","0.157104","1.11B","1.89%"
"06/03/2024","0.158384","0.157165","0.163350","0.155884","1.42B","0.77%"
"06/02/2024","0.157177","0.160314","0.161308","0.154822","887.98M","-1.96%"
"06/01/2024","0.160316","0.158970","0.161592","0.158429","723.74M","0.84%"
"05/31/2024","0.158988","0.159467","0.162414","0.154371","1.42B","-0.31%"
"05/30/2024","0.159481","0.163834","0.165635","0.156622","2.22B","-2.66%"
"05/29/2024","0.163836","0.164934","0.170558","0.162226","2.18B","-0.67%"
"05/28/2024","0.164947","0.169086","0.169675","0.161851","1.98B","-2.44%"
"05/27/2024","0.169070","0.166196","0.173278","0.164384","2.14B","1.74%"
"05/26/2024","0.166181","0.174017","0.174701","0.165670","1.89B","-4.43%"
"05/25/2024","0.173884","0.163808","0.174111","0.162759","1.97B","6.16%"
"05/24/2024","0.163800","0.159699","0.172666","0.155416","4.24B","2.56%"
"05/23/2024","0.159710","0.166296","0.169208","0.152849","3.16B","-3.96%"
"05/22/2024","0.166298","0.170355","0.174535","0.161875","2.80B","-2.39%"
"05/21/2024","0.170365","0.165773","0.173132","0.160884","3.75B","2.70%"
"05/20/2024","0.165888","0.149103","0.166184","0.147886","2.41B","11.25%"
"05/19/2024","0.149113","0.153051","0.155991","0.147838","1.18B","-2.57%"
"05/18/2024","0.153051","0.155554","0.156847","0.151399","1.13B","-1.60%"
"05/17/2024","0.155545","0.149703","0.156379","0.149397","1.75B","3.90%"
"05/16/2024","0.149705","0.155369","0.159079","0.148824","2.11B","-3.64%"
"05/15/2024","0.155367","0.145467","0.156878","0.145307","2.85B","6.79%"
"05/14/2024","0.145483","0.148624","0.155009","0.144332","2.95B","-2.10%"
"05/13/2024","0.148597","0.141219","0.157001","0.135943","3.76B","5.24%"
"05/12/2024","0.141200","0.143057","0.144437","0.139790","1.20B","-1.30%"
"05/11/2024","0.143055","0.143903","0.146193","0.142636","849.02M","-0.59%"
"05/10/2024","0.143903","0.152173","0.153586","0.142498","1.87B","-5.39%"
"05/09/2024","0.152109","0.143223","0.153972","0.143213","1.90B","6.20%"
"05/08/2024","0.143231","0.149983","0.151917","0.142140","2.02B","-4.50%"
"05/07/2024","0.149985","0.156481","0.159854","0.149503","2.07B","-4.15%"
"05/06/2024","0.156481","0.160945","0.169034","0.154158","3.23B","-2.77%"
"05/05/2024","0.160944","0.160141","0.163302","0.154678","2.46B","0.50%"
"05/04/2024","0.160137","0.146054","0.169272","0.145828","4.79B","9.64%"
"05/03/2024","0.146051","0.132000","0.147893","0.131246","2.34B","10.64%"
"05/02/2024","0.132005","0.130221","0.134282","0.124105","2.66B","1.37%"
"05/01/2024","0.130221","0.133360","0.133882","0.120207","4.68B","-2.29%"
"04/30/2024","0.133274","0.143423","0.145949","0.129598","2.61B","-7.08%"
"04/29/2024","0.143422","0.146687","0.148056","0.139841","1.91B","-2.25%"
"04/28/2024","0.146716","0.147730","0.151010","0.146129","1.03B","-0.69%"
"04/27/2024","0.147730","0.147938","0.149624","0.143252","1.48B","-0.14%"
"04/26/2024","0.147936","0.151271","0.151761","0.146977","1.51B","-2.20%"
"04/25/2024","0.151269","0.151317","0.154123","0.147573","1.87B","-0.04%"
"04/24/2024","0.151328","0.159819","0.164282","0.149482","2.82B","-5.32%"
"04/23/2024","0.159825","0.161220","0.162933","0.156965","1.67B","-0.87%"
"04/22/2024","0.161230","0.158709","0.163278","0.156594","2.07B","1.82%"
"04/21/2024","0.158353","0.162693","0.165782","0.155160","2.09B","-2.67%"
"04/20/2024","0.162701","0.155915","0.164596","0.150793","2.81B","4.33%"
"04/19/2024","0.155947","0.152233","0.156981","0.139896","4.06B","2.43%"
"04/18/2024","0.152249","0.147638","0.153713","0.141147","3.35B","3.13%"
"04/17/2024","0.147630","0.156027","0.158605","0.144660","3.23B","-5.38%"
"04/16/2024","0.156026","0.161240","0.162332","0.146425","4.01B","-3.25%"
"04/15/2024","0.161262","0.162287","0.168936","0.150571","5.98B","-0.64%"
"04/14/2024","0.162298","0.152327","0.164427","0.143959","6.22B","6.55%"
"04/13/2024","0.152326","0.174163","0.175783","0.131151","7.89B","-12.54%"
"04/12/2024","0.174163","0.193828","0.200905","0.162235","5.59B","-10.15%"
"04/11/2024","0.193838","0.199734","0.203273","0.190004","3.08B","-2.95%"
"04/10/2024","0.199735","0.189114","0.202056","0.181074","4.07B","5.64%"
"04/09/2024","0.189076","0.202632","0.203352","0.185924","3.26B","-6.69%"
"04/08/2024","0.202638","0.198875","0.208578","0.195733","2.96B","1.89%"
"04/07/2024","0.198884","0.185801","0.204504","0.185511","4.33B","7.05%"
"04/06/2024","0.185785","0.177212","0.187696","0.176456","2.73B","4.86%"
"04/05/2024","0.177167","0.179992","0.180527","0.167624","3.29B","-1.57%"
"04/04/2024","0.179991","0.175215","0.188199","0.172006","3.50B","2.72%"
"04/03/2024","0.175218","0.182334","0.187470","0.170170","5.07B","-3.90%"
"04/02/2024","0.182334","0.205167","0.205167","0.180277","5.96B","-11.13%"
"04/01/2024","0.205173","0.220113","0.220113","0.197712","5.02B","-6.78%"
"03/31/2024","0.220106","0.199160","0.223900","0.199160","3.42B","10.52%"
"03/30/2024","0.199157","0.212930","0.216730","0.197491","3.61B","-6.47%"
"03/29/2024","0.212930","0.220140","0.224607","0.208571","4.95B","-3.28%"
"03/28/2024","0.220159","0.190489","0.228015","0.189283","9.33B","15.59%"
"03/27/2024","0.190473","0.182271","0.191614","0.179507","6.52B","4.53%"
"03/26/2024","0.182226","0.175277","0.186253","0.174878","4.55B","3.96%"
"03/25/2024","0.175283","0.176594","0.186747","0.170050","4.47B","-0.74%"
"03/24/2024","0.176593","0.161726","0.179859","0.161485","4.60B","9.20%"
"03/23/2024","0.161711","0.152968","0.174737","0.151768","5.14B","5.73%"
"03/22/2024","0.152946","0.155459","0.164938","0.145530","5.38B","-1.62%"
"03/21/2024","0.155463","0.152044","0.159614","0.146761","5.19B","2.26%"
"03/20/2024","0.152034","0.128932","0.152975","0.123196","7.07B","17.90%"
"03/19/2024","0.128956","0.143500","0.145121","0.125408","6.86B","-10.14%"
"03/18/2024","0.143501","0.154157","0.154217","0.140032","3.37B","-6.91%"
"03/17/2024","0.154155","0.142515","0.158567","0.137215","4.39B","8.12%"
"03/16/2024","0.142572","0.163504","0.165056","0.138395","4.75B","-12.70%"
"03/15/2024","0.163314","0.177194","0.181241","0.152347","6.54B","-7.81%"
"03/14/2024","0.177141","0.169020","0.191799","0.165343","10.01B","4.80%"
"03/13/2024","0.169034","0.168220","0.174333","0.165097","3.32B","0.48%"
"03/12/2024","0.168225","0.182104","0.183288","0.157987","4.47B","-7.62%"
"03/11/2024","0.182093","0.169990","0.182935","0.160589","4.97B","7.12%"
"03/10/2024","0.169989","0.178776","0.179509","0.165387","3.85B","-4.91%"
"03/09/2024","0.178757","0.169893","0.184630","0.163479","6.05B","8.60%"
"03/08/2024","0.164606","0.157643","0.175376","0.155167","7.40B","4.42%"
"03/07/2024","0.157642","0.157792","0.162273","0.146634","5.74B","-0.10%"
"03/06/2024","0.157793","0.153424","0.179268","0.146629","7.94B","2.84%"
"03/05/2024","0.153434","0.181914","0.206077","0.129484","16.97B","-15.54%"
"03/04/2024","0.181668","0.153927","0.184677","0.147316","11.14B","17.98%"
"03/03/2024","0.153978","0.141931","0.156039","0.124954","8.40B","8.47%"
"03/02/2024","0.141959","0.139533","0.150487","0.136505","7.35B","1.74%"
"03/01/2024","0.139538","0.117209","0.144887","0.117203","9.25B","19.05%"
"02/29/2024","0.117212","0.115953","0.134850","0.111657","12.43B","1.09%"
"02/28/2024","0.115953","0.097589","0.122303","0.094467","11.47B","18.81%"
"02/27/2024","0.097597","0.089285","0.100428","0.088534","6.33B","9.31%"
"02/26/2024","0.089285","0.086127","0.090011","0.084192","1.81B","3.67%"
"02/25/2024","0.086123","0.086155","0.086789","0.085281","869.52M","-0.04%"
"02/24/2024","0.086154","0.084477","0.086347","0.083890","1.04B","1.98%"
"02/23/2024","0.084483","0.084097","0.085521","0.082952","1.35B","0.44%"
"02/22/2024","0.084111","0.084566","0.085453","0.083089","1.16B","-0.54%"
"02/21/2024","0.084568","0.086170","0.086260","0.082039","1.40B","-1.86%"
"02/20/2024","0.086173","0.089411","0.091433","0.083179","2.72B","-3.62%"
"02/19/2024","0.089409","0.085189","0.090771","0.085056","2.20B","4.95%"
"02/18/2024","0.085189","0.083565","0.085706","0.082875","945.43M","1.95%"
"02/17/2024","0.083564","0.085927","0.086063","0.082033","1.13B","-2.75%"
"02/16/2024","0.085924","0.085288","0.087912","0.084163","1.37B","0.75%"
"02/15/2024","0.085287","0.085503","0.088147","0.083992","2.20B","-0.25%"
"02/14/2024","0.085502","0.081062","0.086973","0.080499","2.31B","5.48%"
"02/13/2024","0.081062","0.082211","0.082977","0.079860","1.32B","-1.41%"
"02/12/2024","0.082223","0.081224","0.082808","0.079494","1.33B","1.23%"
"02/11/2024","0.081224","0.081417","0.083373","0.080885","1.06B","-0.24%"
"02/10/2024","0.081416","0.081552","0.082143","0.080344","715.38M","-0.16%"
"02/09/2024","0.081550","0.079849","0.082122","0.079849","1.25B","2.13%"
"02/08/2024","0.079847","0.080118","0.080836","0.079572","849.47M","-0.34%"
"02/07/2024","0.080122","0.078481","0.080267","0.078173","763.61M","2.10%"
"02/06/2024","0.078472","0.078338","0.079171","0.077771","621.75M","0.17%"
"02/05/2024","0.078336","0.078293","0.080270","0.077376","857.22M","0.06%"
"02/04/2024","0.078290","0.078732","0.079957","0.078048","519.09M","-0.55%"
"02/03/2024","0.078722","0.079267","0.079494","0.078557","495.60M","-0.69%"
"02/02/2024","0.079271","0.079357","0.079941","0.078612","774.41M","-0.11%"
"02/01/2024","0.079356","0.078756","0.079793","0.077572","917.12M","0.76%"
"01/31/2024","0.078755","0.079725","0.080259","0.078078","1.03B","-1.22%"
"01/30/2024","0.079728","0.081364","0.082154","0.079473","1.16B","-2.01%"
"01/29/2024","0.081361","0.078826","0.082948","0.078199","2.07B","3.22%"
"01/28/2024","0.078823","0.080122","0.081423","0.078239","859.62M","-1.62%"
"01/27/2024","0.080124","0.079826","0.080670","0.079032","759.14M","0.37%"
"01/26/2024","0.079832","0.077915","0.080324","0.077558","997.96M","2.46%"
"01/25/2024","0.077918","0.079040","0.079227","0.077122","1.03B","-1.43%"
"01/24/2024","0.079049","0.078207","0.080613","0.077677","1.43B","1.08%"
"01/23/2024","0.078206","0.080509","0.081843","0.076022","2.10B","-2.86%"
"01/22/2024","0.080509","0.085437","0.085515","0.080130","2.42B","-5.72%"
"01/21/2024","0.085395","0.088713","0.091362","0.084799","3.29B","-3.81%"
"01/20/2024","0.088775","0.078537","0.091151","0.078214","2.47B","13.02%"
"01/19/2024","0.078546","0.078039","0.078804","0.075009","1.21B","0.66%"
"01/18/2024","0.078031","0.080582","0.080790","0.077296","994.51M","-3.17%"
"01/17/2024","0.080582","0.081341","0.081581","0.079503","768.33M","-0.93%"
"01/16/2024","0.081340","0.081059","0.082457","0.079901","931.79M","0.36%"
"01/15/2024","0.081050","0.080026","0.081732","0.079897","700.23M","1.28%"
"01/14/2024","0.080027","0.080909","0.083915","0.079724","1.38B","-1.09%"
